Time,Pressure
17:12:31.18,ets Jul 29 2019 12:21:46
17:12:31.18,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:12:31.18,configsip: 0, SPIWP:0xee
17:12:31.19,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:12:31.19,mode:DIO, clock div:1
17:12:31.20,load:0x3fff0030,len:4916
17:12:31.20,load:0x40078000,len:16436
17:12:31.20,load:0x40080400,len:4
17:12:31.20,ho 8 tail 4 room 4
17:12:31.20,load:0x40080404,len:3524
17:12:31.20,entry 0x400805b8
17:12:31.36,Pressure sensor found at 0x28.
17:12:47.46,0.418
17:12:47.56,0.496
17:12:47.65,0.542
17:12:47.75,0.565
17:12:47.86,0.575
17:12:47.96,0.592
17:12:48.05,0.595
17:12:48.15,0.318
17:12:48.26,0.242
17:12:48.35,0.149
17:12:48.46,0.044
17:12:48.55,0.000
17:12:48.66,0.000
17:12:48.74,0.000
17:12:48.86,0.000
17:12:48.94,0.000
17:12:49.05,0.000
17:12:49.15,0.000
17:12:49.25,0.000
17:12:49.36,0.080
17:12:49.46,0.148
17:12:49.55,0.238
17:12:49.66,0.353
17:12:49.75,0.455
17:12:49.85,0.525
17:12:49.96,0.570
17:12:50.05,0.590
17:12:50.16,0.600
17:12:50.25,0.592
17:12:50.35,0.412
17:12:50.45,0.263
17:12:50.55,0.225
17:12:50.65,0.090
17:12:50.76,0.000
17:12:50.86,0.000
17:12:50.96,0.000
17:12:51.05,0.000
17:12:51.16,0.000
17:12:51.25,0.000
17:12:51.35,0.000
17:12:51.46,0.000
17:12:51.55,0.052
17:12:51.66,0.103
17:12:51.75,0.204
17:12:51.85,0.313
17:12:51.95,0.428
17:12:52.05,0.501
17:12:52.16,0.552
17:12:52.26,0.577
17:12:52.35,0.590
17:12:52.45,0.616
17:12:52.55,0.553
17:12:52.66,0.294
17:12:52.75,0.235
17:12:52.86,0.116
17:12:52.96,0.000
17:12:53.05,0.000
17:12:53.15,0.000
17:12:53.25,0.000
17:12:53.35,0.000
17:12:53.46,0.000
17:12:53.55,0.000
17:12:53.66,0.000
17:12:53.76,0.001
17:12:53.85,0.092
17:12:53.95,0.175
17:12:54.05,0.266
17:12:54.15,0.380
17:12:54.26,0.477
17:12:54.35,0.526
17:12:54.46,0.569
17:12:54.55,0.587
17:12:54.65,0.602
17:12:54.76,0.606
17:12:54.86,0.354
17:12:54.95,0.251
17:12:55.06,0.162
17:12:55.16,0.072
17:12:55.25,0.000
17:12:55.35,0.000
17:12:55.46,0.000
17:12:55.55,0.000
17:12:55.66,0.000
17:12:55.75,0.000
17:12:55.86,0.000
17:12:55.96,0.000
17:12:56.06,0.072
17:12:56.15,0.107
17:12:56.25,0.224
17:12:56.36,0.340
17:12:56.46,0.445
17:12:56.55,0.520
17:12:56.65,0.555
17:12:56.75,0.594
17:12:56.85,0.610
17:12:56.96,0.603
17:12:57.05,0.464
17:12:57.16,0.273
17:12:57.25,0.228
17:12:57.35,0.098
17:12:57.46,0.000
17:12:57.55,0.000
17:12:57.66,0.000
17:12:57.76,0.000
17:12:57.85,0.000
17:12:57.96,0.000
17:12:58.05,0.000
17:12:58.15,0.000
17:12:58.25,0.036
17:12:58.36,0.100
17:12:58.46,0.194
17:12:58.55,0.297
17:12:58.66,0.413
17:12:58.75,0.491
17:12:58.85,0.538
17:12:58.96,0.577
17:12:59.06,0.595
17:12:59.16,0.605
